Vertex	Adjacent vertexes
176677184	3581103494,176677183
176677186	176677187,6551605855
176677187	458889254,176677186
176677189	176677190,1037480168
176677190	3581103508,176677189
176677191	3581103509,3581103508
176677192	3581103509,3225428962
176677194	458889190,458889235,458891413,7124583783,1263204066
176677195	458891422,176677197,7124583783
176677197	176677198,176677195
176677198	458889115,176677197
176677200	3225428963,458889115
176677202	176677203,3225428963
176677203	3225428956,176677202,458892847,1291749577
176677204	3225428957,310251858
176677206	414567183,3225428957
176677207	2484793947,176677208,414567183
176677208	176677209,176677207,1630855244
176677209	4185009995,176677208
176677210	4185009995,176677211
176677211	176677213,176677210
176677213	176677214,176677211
176677214	1698392206,176677213
176677217	176677218,1698392226
176677218	176677219,176677217
176677219	6342415514,176677218
176677221	1314948701,6710015661
176677223	414117887,6710015656
176677224	176677226,414117911
176677226	176677228,176677224
176677228	176677226,3954534572
176677231	1698392298,875261413
176677232	6785870663,875249589,875249668
176677238	176677240,6785877892
176677240	6785877907,176677238
176677242	176677244,1234653560
176677244	1281901699,176677242
176677246	176677247,1281901699
176677247	4407072685,176677246
176677248	1192965226,6785877916
176677252	6785135004,1192965226
176677253	6785135006,6785135004
176677257	1868481142,1234641134
176677260	1207663002,6785069778,1786573925
176677261	176677262,6785069778
176677262	551827392,176677261
176677264	3466916508,6785069780
176677265	176677266,551827909
176677266	551827486,176677265
176677267	1207663065,176677268,551827486
176677268	1868481225,176677267
176677269	1207663061,1868481225,1786577185
176677270	1207663055,1207662822,6785020849,1868481221
176677271	1085292212,6785020849
176677272	1207663042,1207662735,5838149643,1085292212
176677273	1606103725,5652095256
176677274	1908659381,1262080769,1315842910
176691010	5653116773
176691011	1834905856,5653116773
176691014	3634859640,1167943055
176691015	6763474709,1167943055
176691017	693348481,6763474709,6763474710
